# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	78706	79869	+							THEYE_A0074	1164		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	78706	79869	+	ACI21446.1			IspD/IspF bifunctional enzyme			THEYE_A0074	1164	387	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	79858	80874	-							THEYE_A0075	1017		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	79858	80874	-	ACI21291.1			hydroxyacid oxidase 1			THEYE_A0075	1017	338	
gene	tRNA	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	80924	80999	+							THEYE_A0076	76		
tRNA		GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	80924	80999	+				tRNA-Ala			THEYE_A0076	76		
gene	tRNA	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	81341	81425	-							THEYE_A0077	85		
tRNA		GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	81341	81425	-				tRNA-Leu			THEYE_A0077	85		
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	81657	82595	+							THEYE_A0078	939		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	81657	82595	+	ACI20252.1			radical SAM protein, family			THEYE_A0078	939	312	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	82540	84066	+							THEYE_A0079	1527		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	82540	84066	+	ACI21756.1			putative Mg chelatase			THEYE_A0079	1527	508	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	84067	84708	+							THEYE_A0080	642		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	84067	84708	+	ACI20491.1			conserved protein			THEYE_A0080	642	213	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	84760	86670	+					glgB		THEYE_A0081	1911		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	84760	86670	+	ACI20861.1			1,4-alpha-glucan branching enzyme	glgB		THEYE_A0081	1911	636	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	86829	87641	+							THEYE_A0082	813		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	86829	87641	+	ACI21818.1			methyltransferase			THEYE_A0082	813	270	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	87813	89015	+							THEYE_A0083	1203		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	87813	89015	+	ACI22076.1			Na/H+ antiporter			THEYE_A0083	1203	400	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	89005	90357	-							THEYE_A0084	1353		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	89005	90357	-	ACI21134.1			conserved hypothetical protein			THEYE_A0084	1353	450	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	90463	90879	+							THEYE_A0085	417		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	90463	90879	+	ACI20893.1			hypothetical protein			THEYE_A0085	417	138	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	90872	91063	+							THEYE_A0086	192		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	90872	91063	+	ACI21039.1			conserved hypothetical protein			THEYE_A0086	192	63	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	91085	91867	+							THEYE_A0087	783		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	91085	91867	+	ACI22165.1			lipoate protein ligase, putative			THEYE_A0087	783	260	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	92461	92658	+							THEYE_A0088	198		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	92461	92658	+	ACI20744.1			hypothetical protein			THEYE_A0088	198	65	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	92708	93517	-							THEYE_A0089	810		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	92708	93517	-	ACI21957.1			conserved hypothetical protein			THEYE_A0089	810	269	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	93508	94284	-					lpxA		THEYE_A0090	777		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	93508	94284	-	ACI21530.1			acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA		THEYE_A0090	777	258	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	94297	94719	-					fabZ		THEYE_A0091	423		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	94297	94719	-	ACI20610.1			beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ	fabZ		THEYE_A0091	423	140	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	94737	95765	-					lpxD		THEYE_A0092	1029		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	94737	95765	-	ACI21399.1			UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	lpxD		THEYE_A0092	1029	342	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	95762	96298	-							THEYE_A0093	537		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	95762	96298	-	ACI20321.1			outer membrane protein, putative			THEYE_A0093	537	178	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	96313	98559	-							THEYE_A0094	2247		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	96313	98559	-	ACI22168.1			outer membrane protein, putative			THEYE_A0094	2247	748	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	98593	99972	-							THEYE_A0095	1380		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	98593	99972	-	ACI20231.1			phosphomannomutase/phosphoglucomutase			THEYE_A0095	1380	459	
