# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	31407	31922	-	WP_010865452.1	WP_010865452.1		hypothetical protein		1445606	APE_RS00145	516	171	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	32017	32877	-						1445607	APE_RS00150	861		old_locus_tag=APE0053,APE_0053.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	32017	32877	-	WP_010865453.1	WP_010865453.1		fumarylacetoacetate hydrolase family protein		1445607	APE_RS00150	861	286	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	33058	33588	-						1445608	APE_RS00155	531		old_locus_tag=APE0054,APE_0054.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	33058	33588	-	WP_010865454.1	WP_010865454.1		hypothetical protein		1445608	APE_RS00155	531	176	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	33674	34966	-						1445609	APE_RS00160	1293		old_locus_tag=APE0055,APE_0055
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	33674	34966	-	WP_010865455.1	WP_010865455.1		ArsB/NhaD family transporter		1445609	APE_RS00160	1293	430	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	35035	35787	-						1445610	APE_RS00165	753		old_locus_tag=APE0056,APE_0056.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	35035	35787	-	WP_010865456.1	WP_010865456.1		enoyl-CoA hydratase/isomerase family protein		1445610	APE_RS00165	753	250	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	35926	40392	+						1445611	APE_RS00170	4467		old_locus_tag=APE0057,APE_0057.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	35926	40392	+	WP_010865457.1	WP_010865457.1		hypothetical protein		1445611	APE_RS00170	4467	1488	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	40405	41106	+						1445614	APE_RS00175	702		old_locus_tag=APE0060,APE_0060.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	40405	41106	+	WP_010865458.1	WP_010865458.1		hypothetical protein		1445614	APE_RS00175	702	233	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	41227	42510	+						1445615	APE_RS00180	1284		old_locus_tag=APE0061,APE_0061.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	41227	42510	+	WP_148679232.1	WP_148679232.1		BMP family ABC transporter substrate-binding protein		1445615	APE_RS00180	1284	427	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	42608	44086	+						1445616	APE_RS00185	1479		old_locus_tag=APE0063,APE_0063
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	42608	44086	+	WP_010865460.1	WP_010865460.1		ABC transporter ATP-binding protein		1445616	APE_RS00185	1479	492	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	44083	45018	+						1445617	APE_RS00190	936		old_locus_tag=APE0065,APE_0065
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	44083	45018	+	WP_010865461.1	WP_010865461.1		ABC transporter permease		1445617	APE_RS00190	936	311	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	45022	45867	+						1445618	APE_RS00195	846		old_locus_tag=APE0067,APE_0067.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	45022	45867	+	WP_148678822.1	WP_148678822.1		ABC transporter permease		1445618	APE_RS00195	846	281	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	45961	46422	+						4525195	APE_RS00200	462		old_locus_tag=APE_0067a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	45961	46422	+	WP_010865463.1	WP_010865463.1		hypothetical protein		4525195	APE_RS00200	462	153	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	46629	47108	+						1445620	APE_RS00205	480		old_locus_tag=APE0069,APE_0069.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	46629	47108	+	WP_010865464.1	WP_010865464.1		deoxyuridine 5'-triphosphate nucleotidohydrolase		1445620	APE_RS00205	480	159	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	47135	47677	-						1445621	APE_RS00210	543		old_locus_tag=APE0070,APE_0070.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	47135	47677	-	WP_010865465.1	WP_010865465.1		hypothetical protein		1445621	APE_RS00210	543	180	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	47940	49013	-						41583221	APE_RS00215	1074		
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	47940	49013	-	WP_148678824.1	WP_148678824.1		molybdopterin-dependent oxidoreductase		41583221	APE_RS00215	1074	357	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	49294	50331	+					ccsA	1445623	APE_RS00220	1038		old_locus_tag=APE0072,APE_0072
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	49294	50331	+	WP_010865467.1	WP_010865467.1		cytochrome c biogenesis protein CcsA	ccsA	1445623	APE_RS00220	1038	345	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	50407	52197	+						1445624	APE_RS00225	1791		old_locus_tag=APE0073,APE_0073.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	50407	52197	+	WP_010865468.1	WP_010865468.1		hypothetical protein		1445624	APE_RS00225	1791	596	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	52159	53043	-						1445627	APE_RS00230	885		old_locus_tag=APE0076,APE_0076.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	52159	53043	-	WP_148678826.1	WP_148678826.1		EamA family transporter		1445627	APE_RS00230	885	294	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	53306	53791	+						1445628	APE_RS00235	486		old_locus_tag=APE0077,APE_0077
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	53306	53791	+	WP_158298209.1	WP_158298209.1		molybdenum cofactor biosynthesis protein MoaB		1445628	APE_RS00235	486	161	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	53788	54003	-						4525196	APE_RS00240	216		old_locus_tag=APE_0077a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	53788	54003	-	WP_148678827.1	WP_148678827.1		hypothetical protein		4525196	APE_RS00240	216	71	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	54129	54527	+					speD	1445629	APE_RS00245	399		old_locus_tag=APE0079,APE_0079
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	54129	54527	+	WP_010865472.1	WP_010865472.1		adenosylmethionine decarboxylase	speD	1445629	APE_RS00245	399	132	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	54512	56593	-						1445630	APE_RS00250	2082		old_locus_tag=APE0080,APE_0080.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	54512	56593	-	WP_148678828.1	WP_148678828.1		DUF87 domain-containing protein		1445630	APE_RS00250	2082	693	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	56575	57759	-						1445631	APE_RS00255	1185		old_locus_tag=APE0082,APE_0082.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	56575	57759	-	WP_010865474.1	WP_010865474.1		DNA double-strand break repair nuclease NurA		1445631	APE_RS00255	1185	394	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	57823	58536	-						1445633	APE_RS00260	714		old_locus_tag=APE0084,APE_0084.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	57823	58536	-	WP_010865475.1	WP_010865475.1		NADPH-dependent oxidoreductase		1445633	APE_RS00260	714	237	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	58607	59269	-						1445634	APE_RS00265	663		old_locus_tag=APE0085,APE_0085.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	58607	59269	-	WP_158298210.1	WP_158298210.1		CehA/McbA family metallohydrolase		1445634	APE_RS00265	663	220	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	59379	59825	+						4525197	APE_RS00270	447		old_locus_tag=APE_0085a
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	59379	59825	+	WP_010865477.1	WP_010865477.1		hypothetical protein		4525197	APE_RS00270	447	148	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	59910	60401	+						1445635	APE_RS00275	492		old_locus_tag=APE0086,APE_0086
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	59910	60401	+	WP_010865478.1	WP_010865478.1		peroxiredoxin		1445635	APE_RS00275	492	163	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	60406	60720	-						1445636	APE_RS00280	315		old_locus_tag=APE0087,APE_0087.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	60406	60720	-	WP_010865479.1	WP_010865479.1		DUF2175 family protein		1445636	APE_RS00280	315	104	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	60867	61838	+						1445637	APE_RS00285	972		old_locus_tag=APE0088,APE_0088.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	60867	61838	+	WP_010865480.1	WP_010865480.1		phosphate uptake regulator PhoU		1445637	APE_RS00285	972	323	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	62528	63997	+						1445638	APE_RS00290	1470		old_locus_tag=APE0089,APE_0089.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	62528	63997	+	WP_148678834.1	WP_148678834.1		TldD/PmbA family protein		1445638	APE_RS00290	1470	489	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	64012	65361	+						1445639	APE_RS00295	1350		old_locus_tag=APE0091,APE_0091
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	64012	65361	+	WP_010865482.1	WP_010865482.1		TldD/PmbA family protein		1445639	APE_RS00295	1350	449	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	65371	66471	-						1445539	APE_RS00300	1101		old_locus_tag=APE0092,APE_0092.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	65371	66471	-	WP_010865483.1	WP_010865483.1		histone deacetylase family protein		1445539	APE_RS00300	1101	366	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	66579	67616	-						1445640	APE_RS00305	1038		old_locus_tag=APE0093,APE_0093.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	66579	67616	-	WP_010865484.1	WP_010865484.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein		1445640	APE_RS00305	1038	345	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	67976	68473	+						1445643	APE_RS00310	498		old_locus_tag=APE0096,APE_0096.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	67976	68473	+	WP_010865485.1	WP_010865485.1		hypothetical protein		1445643	APE_RS00310	498	165	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	68480	69124	-						1445644	APE_RS00315	645		old_locus_tag=APE0097,APE_0097.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	68480	69124	-	WP_010865486.1	WP_010865486.1		DUF429 domain-containing protein		1445644	APE_RS00315	645	214	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	69239	72118	-						1445645	APE_RS00320	2880		old_locus_tag=APE0099,APE_0099
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	69239	72118	-	WP_010865487.1	WP_010865487.1		DNA-directed DNA polymerase I		1445645	APE_RS00320	2880	959	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	72688	74778	+						1445646	APE_RS00325	2091		old_locus_tag=APE0101,APE_0101.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	72688	74778	+	WP_148679233.1	WP_148679233.1		4Fe-4S dicluster domain-containing protein		1445646	APE_RS00325	2091	696	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	74775	75242	-						1445647	APE_RS00330	468		old_locus_tag=APE0103,APE_0103.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	74775	75242	-	WP_010865489.1	WP_010865489.1		Hsp20/alpha crystallin family protein		1445647	APE_RS00330	468	155	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	75287	76066	-						1445648	APE_RS00335	780		old_locus_tag=APE0104,APE_0104.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	75287	76066	-	WP_010865490.1	WP_010865490.1		proteasome assembly chaperone family protein		1445648	APE_RS00335	780	259	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	76180	76416	+						1445649	APE_RS00340	237		old_locus_tag=APE_0104a.1,APES001
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	76180	76416	+	WP_148678837.1	WP_148678837.1		ferredoxin		1445649	APE_RS00340	237	78	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	76470	77261	+					rsgA	1445650	APE_RS00345	792		old_locus_tag=APE0105,APE_0105
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	76470	77261	+	WP_010865492.1	WP_010865492.1		GTPase RsgA	rsgA	1445650	APE_RS00345	792	263	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	77364	77780	-						1445651	APE_RS00350	417		old_locus_tag=APE0106,APE_0106.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	77364	77780	-	WP_158298211.1	WP_158298211.1		hypothetical protein		1445651	APE_RS00350	417	138	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	77777	79417	-						1445652	APE_RS00355	1641		old_locus_tag=APE0107,APE_0107
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	77777	79417	-	WP_010865494.1	WP_010865494.1		ATP-binding protein		1445652	APE_RS00355	1641	546	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	79401	80606	-						1445653	APE_RS00360	1206		old_locus_tag=APE0109,APE_0109.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	79401	80606	-	WP_010865495.1	WP_010865495.1		DNA double-strand break repair nuclease NurA		1445653	APE_RS00360	1206	401	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	80633	83392	-						1445654	APE_RS00365	2760		old_locus_tag=APE0110,APE_0110
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	80633	83392	-	WP_010865496.1	WP_010865496.1		SMC family ATPase		1445654	APE_RS00365	2760	919	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	83399	84628	-						1445655	APE_RS00370	1230		old_locus_tag=APE0113,APE_0113
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	83399	84628	-	WP_010865497.1	WP_010865497.1		exonuclease SbcCD subunit D		1445655	APE_RS00370	1230	409	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	84782	84934	-						1445656	APE_RS00375	153		old_locus_tag=APE_0113a,APES002
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	84782	84934	-	WP_010865498.1	WP_010865498.1		50S ribosomal protein L40e		1445656	APE_RS00375	153	50	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	85004	86056	-					fen	1445657	APE_RS00380	1053		old_locus_tag=APE0115,APE_0115.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	85004	86056	-	WP_010865499.1	WP_010865499.1		flap endonuclease-1	fen	1445657	APE_RS00380	1053	350	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	86157	86765	+						1445658	APE_RS00385	609		old_locus_tag=APE0116,APE_0116.1
